YEAR,MO,DY,LAT,LON,T-IKO,TMIN-IKO,TMAX-IKO,RH2M-IKO
1983,5,2,6.62051,3.52061,27.13,25.28,29.97,84.53
1983,5,3,6.62051,3.52061,27.12,24.64,30.71,81.74
1983,5,4,6.62051,3.52061,26.28,24.2,29.23,84.22
1983,5,5,6.62051,3.52061,26.53,23.52,30.68,78.52
1983,5,6,6.62051,3.52061,27.03,23.94,30.97,81.89
1983,5,7,6.62051,3.52061,26.47,24.65,28.97,85.5
1983,5,8,6.62051,3.52061,26.86,24.94,29.84,86.43
1983,5,9,6.62051,3.52061,26.68,24.81,29.59,85.62
1983,5,10,6.62051,3.52061,26.15,24.9,28.24,87.93
1983,5,11,6.62051,3.52061,26.79,24.48,29.91,82.35
1983,5,12,6.62051,3.52061,27.35,24.5,30.75,81.76
1983,5,13,6.62051,3.52061,27.28,25.01,30.16,80.93
1983,5,14,6.62051,3.52061,26.33,24.88,28.17,86.19
1983,5,15,6.62051,3.52061,26.11,24.54,28.21,89.08
1983,5,16,6.62051,3.52061,26.52,24.51,29.39,87.9
1983,5,17,6.62051,3.52061,26.3,24.64,28.83,89.35
1983,5,18,6.62051,3.52061,26.31,24.74,28.99,88.34
1983,5,19,6.62051,3.52061,25.73,24.26,27.95,90.14
1983,5,20,6.62051,3.52061,26.24,24,29.4,87.76
1983,5,21,6.62051,3.52061,26,24.26,28.64,89.74
1983,5,22,6.62051,3.52061,25.96,23.86,28.66,87.95
1983,5,23,6.62051,3.52061,25.93,24.18,28.18,89.94
1983,5,24,6.62051,3.52061,26.08,24.61,28.18,90.86
1983,5,25,6.62051,3.52061,26.19,24.37,28.46,84.59
1983,5,26,6.62051,3.52061,26.67,24.5,29.74,85.56
1983,5,27,6.62051,3.52061,27.24,25,30.11,85.67
1983,5,28,6.62051,3.52061,26.75,25.25,29.04,87.55
1983,5,29,6.62051,3.52061,26.35,24.51,29.02,89.05
1983,5,30,6.62051,3.52061,26.39,24.35,29.07,88.68
1983,5,31,6.62051,3.52061,26.04,24.64,28.23,90.84
1983,6,1,6.62051,3.52061,26.04,24.63,28.22,90.24
1983,6,2,6.62051,3.52061,26.06,24.29,28.67,89.78
1983,6,3,6.62051,3.52061,26.01,24.21,28.75,87.76
1983,6,4,6.62051,3.52061,26.24,23.99,29.17,87.05
1983,6,5,6.62051,3.52061,26.36,23.87,29.5,87.8
1983,6,6,6.62051,3.52061,26.21,24.29,29,87.71
1983,6,7,6.62051,3.52061,25.91,23.92,28.84,82.6
1983,6,8,6.62051,3.52061,25.98,23.5,29.04,86.09
1983,6,9,6.62051,3.52061,25,24.28,25.83,92.57
1983,6,10,6.62051,3.52061,25.41,24.09,27.09,92.15
1983,6,11,6.62051,3.52061,25.2,23.99,26.94,90.97
1983,6,12,6.62051,3.52061,25.39,23.58,27.85,89.94
1983,6,13,6.62051,3.52061,25.56,23.73,28.4,88.69
1983,6,14,6.62051,3.52061,25.47,24.21,27.1,92.47
1983,6,15,6.62051,3.52061,25.12,23.73,26.74,92.46
1983,6,16,6.62051,3.52061,25.47,23.28,28.46,87.62
1983,6,17,6.62051,3.52061,25.79,23.41,29.04,87.33
1983,6,18,6.62051,3.52061,25.89,23.71,29.08,87.28
1983,6,19,6.62051,3.52061,25.49,23.94,27.82,89.8
1983,6,20,6.62051,3.52061,24.71,23.55,26.4,93.07
1983,6,21,6.62051,3.52061,25.22,23.23,27.83,88.95
1983,6,22,6.62051,3.52061,25.34,23.33,28.43,86.67
1983,6,23,6.62051,3.52061,24.57,23.27,27.07,89.34
1983,6,24,6.62051,3.52061,24.74,23.05,27.73,87.98
1983,6,25,6.62051,3.52061,24.42,22.67,27.3,87.98
1983,6,26,6.62051,3.52061,24.47,22.24,27.55,85.52
1983,6,27,6.62051,3.52061,24.38,22.09,27.21,86.01
1983,6,28,6.62051,3.52061,24.5,22.67,27.29,86.21
1983,6,29,6.62051,3.52061,24.44,22.18,27.9,85.93
1983,6,30,6.62051,3.52061,24.17,21.8,27.59,84.55
1983,7,1,6.62051,3.52061,24.03,21.47,27.6,83.94
1983,7,2,6.62051,3.52061,24.11,21.3,27.56,83.73
1983,7,3,6.62051,3.52061,24.33,22.29,27.14,83.96
1983,7,4,6.62051,3.52061,24.13,22.6,26,86.42
1983,7,5,6.62051,3.52061,24.38,22.73,27.11,85.44
